FID,id,lat,lon,BoroName
0,261,40.69474881,-73.98362464,Brooklyn
1,395,40.68807003,-73.98410637,Brooklyn
2,217,40.70277159,-73.99383605,Brooklyn
3,532,40.710451,-73.960876,Brooklyn
4,397,40.68415748,-73.96922273,Brooklyn
5,431,40.68864636,-73.98263429,Brooklyn
6,321,40.69991755,-73.98971773,Brooklyn
7,430,40.7014851,-73.98656928,Brooklyn
8,471,40.71286844,-73.95698119,Brooklyn
9,389,40.71044554,-73.96525063,Brooklyn
10,83,40.68382604,-73.97632328,Brooklyn
11,372,40.694528,-73.958089,Brooklyn
12,274,40.68691865,-73.976682,Brooklyn
13,324,40.689888,-73.981013,Brooklyn
14,232,40.69597683,-73.99014892,Brooklyn
15,258,40.68940747,-73.96885458,Brooklyn
16,157,40.69089272,-73.99612349,Brooklyn
17,275,40.68650065,-73.96563307,Brooklyn
18,539,40.71534825,-73.96024116,Brooklyn
19,443,40.70853074,-73.96408963,Brooklyn
20,365,40.68223166,-73.9614583,Brooklyn
21,298,40.68683208,-73.9796772,Brooklyn
22,244,40.69196035,-73.96536851,Brooklyn
23,3180,40.69878,-73.99712,Brooklyn
24,391,40.69760127,-73.99344559,Brooklyn
25,418,40.70224,-73.982578,Brooklyn
26,353,40.68539567,-73.97431458,Brooklyn
27,270,40.69308257,-73.97178913,Brooklyn
28,396,40.68034242,-73.95576894,Brooklyn
29,120,40.68676793,-73.95928168,Brooklyn
30,406,40.69512845,-73.99595065,Brooklyn
31,460,40.71285887,-73.96590294,Brooklyn
32,2000,40.70255088,-73.98940236,Brooklyn
33,323,40.69236178,-73.98631746,Brooklyn
34,467,40.68312489,-73.97895137,Brooklyn
35,243,40.688226,-73.979382,Brooklyn
36,216,40.70037867,-73.99548059,Brooklyn
37,2002,40.716887,-73.963198,Brooklyn
38,416,40.68753406,-73.97265183,Brooklyn
39,420,40.68764484,-73.96968902,Brooklyn
40,310,40.68926942,-73.98912867,Brooklyn
41,314,40.69383,-73.990539,Brooklyn
42,354,40.69363137,-73.96223558,Brooklyn
43,239,40.69196566,-73.9813018,Brooklyn
44,143,40.69239502,-73.99337909,Brooklyn
45,233,40.69475701,-73.99052739,Brooklyn
46,399,40.68851534,-73.9647628,Brooklyn
47,289,40.6845683,-73.95881081,Brooklyn
48,421,40.69573398,-73.97129668,Brooklyn
49,245,40.69327018,-73.97703874,Brooklyn
50,313,40.69610226,-73.96751037,Brooklyn
51,390,40.69221589,-73.9842844,Brooklyn
52,436,40.68216564,-73.95399026,Brooklyn
53,241,40.68981035,-73.97493121,Brooklyn
54,366,40.693261,-73.968896,Brooklyn
55,262,40.6917823,-73.9737299,Brooklyn
56,373,40.69331716,-73.95381995,Brooklyn
57,344,40.6851443,-73.95380904,Brooklyn
58,414,40.70281858,-73.98765762,Brooklyn
59,392,40.695065,-73.987167,Brooklyn
60,343,40.69794,-73.96986848,Brooklyn
61,322,40.696192,-73.991218,Brooklyn
62,409,40.6906495,-73.95643107,Brooklyn
63,398,40.69165183,-73.9999786,Brooklyn
64,282,40.70827295,-73.96834101,Brooklyn
65,2001,40.699773,-73.979927,Brooklyn
66,364,40.68900443,-73.96023854,Brooklyn
67,3014,40.722852,-73.959114,Brooklyn
68,144,40.69839895,-73.98068914,Brooklyn
69,242,40.697787,-73.973736,Brooklyn
70,119,40.69608941,-73.97803415,Brooklyn
71,419,40.69580705,-73.97355569,Brooklyn
72,437,40.68098339,-73.95004798,Brooklyn
73,218,40.69028437,-73.98707105,Brooklyn
74,2005,40.70531194,-73.97100056,Brooklyn
75,481,40.71260486,-73.96264403,Brooklyn
76,384,40.683048,-73.964915,Brooklyn
77,3117,40.73564,-73.95866,Brooklyn
78,3113,40.73026,-73.95394,Brooklyn
79,3108,40.72557,-73.94434,Brooklyn
80,3112,40.72906,-73.95779,Brooklyn
81,3115,40.73232194,-73.9550858,Brooklyn
82,3109,40.72606,-73.95621,Brooklyn
83,3110,40.72708584,-73.95299117,Brooklyn
84,3111,40.7258483,-73.95064893,Brooklyn
85,3118,40.73555,-73.95284,Brooklyn
86,3107,40.72311651,-73.95212324,Brooklyn
87,3102,40.72179134,-73.9504154,Brooklyn
88,3098,40.71928,-73.94861,Brooklyn
89,3103,40.72153267,-73.95782357,Brooklyn
90,3101,40.72079821,-73.95484712,Brooklyn
91,3092,40.7190095,-73.95852515,Brooklyn
92,3087,40.71413311,-73.95234386,Brooklyn
93,3104,40.72057658,-73.96150225,Brooklyn
94,3095,40.71929301,-73.94500379,Brooklyn
95,3090,40.71774592,-73.95600096,Brooklyn
96,3088,40.7160751,-73.952029,Brooklyn
97,3094,40.7169811,-73.94485918,Brooklyn
98,3084,40.71348658,-73.94792458,Brooklyn
99,3106,40.72325,-73.94308,Brooklyn
100,3097,40.71921585,-73.9424469,Brooklyn
101,3081,40.711863,-73.944024,Brooklyn
102,3091,40.71764,-73.94882,Brooklyn
103,3083,40.71247661,-73.94100005,Brooklyn
104,3073,40.70691254,-73.95441667,Brooklyn
105,3075,40.70708701,-73.95796783,Brooklyn
106,3079,40.71103537,-73.94714303,Brooklyn
107,3077,40.70877084,-73.95095259,Brooklyn
108,3069,40.70411791,-73.94818595,Brooklyn
109,3071,40.70538077,-73.94976519,Brooklyn
110,3074,40.70767788,-73.94016171,Brooklyn
111,3076,40.70870368,-73.9448625,Brooklyn
112,3070,40.70510918,-73.94407279,Brooklyn
113,3065,40.70029511,-73.95032283,Brooklyn
114,3072,40.70583339,-73.94644578,Brooklyn
115,3067,40.7016657,-73.9437303,Brooklyn
116,3060,40.69425403,-73.94626915,Brooklyn
