,Sid,Income,Outcome,Ratio,Borough
0,168,6879.0,7008.0,0.49535536833,Manhattan
1,450,4206.0,4185.0,0.501251340722,Manhattan
2,312,4583.0,4586.0,0.499836405279,Manhattan
3,382,7031.0,7074.0,0.498475717831,Manhattan
4,352,3842.0,4610.0,0.454566966398,Manhattan
5,212,4333.0,4310.0,0.50133055652,Manhattan
6,388,3799.0,3828.0,0.498098859316,Manhattan
7,492,4985.0,6214.0,0.445129029378,Manhattan
8,387,8916.0,9120.0,0.494344644045,Manhattan
9,285,9050.0,8970.0,0.502219755827,Manhattan
10,476,4390.0,4410.0,0.498863636364,Manhattan
11,263,3880.0,3869.0,0.500709769002,Manhattan
12,79,2726.0,2769.0,0.496087352138,Manhattan
13,379,5952.0,6157.0,0.491535221736,Manhattan
14,368,8022.0,8043.0,0.499346405229,Manhattan
15,336,4304.0,4341.0,0.497860034702,Manhattan
16,426,11509.0,11827.0,0.493186492972,Manhattan
17,281,7738.0,7583.0,0.505058416552,Manhattan
18,229,4702.0,4707.0,0.49973429695,Manhattan
19,439,4160.0,4199.0,0.49766718507,Manhattan
20,347,5995.0,6097.0,0.495782335428,Manhattan
21,293,11801.0,11912.0,0.49765951166,Manhattan
22,329,4693.0,5102.0,0.479122001021,Manhattan
23,3002,8709.0,8745.0,0.498968717772,Manhattan
24,335,3202.0,3168.0,0.502668759812,Manhattan
25,502,2486.0,2535.0,0.495120493926,Manhattan
26,261,1457.0,1439.0,0.503107734807,Brooklyn
27,497,10939.0,11118.0,0.495942331233,Manhattan
28,491,5436.0,5438.0,0.499908037521,Manhattan
29,251,5501.0,5509.0,0.499636693915,Manhattan
30,445,5570.0,5616.0,0.497943858394,Manhattan
31,444,7318.0,7404.0,0.497079201195,Manhattan
32,161,4542.0,4722.0,0.490284974093,Manhattan
33,252,3697.0,3697.0,0.5,Manhattan
34,428,4355.0,4424.0,0.496070167445,Manhattan
35,395,561.0,582.0,0.490813648294,Brooklyn
36,515,4552.0,4520.0,0.50176366843,Manhattan
37,237,5139.0,5294.0,0.492571647656,Manhattan
38,459,8442.0,8667.0,0.493424513414,Manhattan
39,280,3038.0,3057.0,0.498441345365,Manhattan
40,393,2018.0,2071.0,0.493519197848,Manhattan
41,268,3987.0,3912.0,0.504747436384,Manhattan
42,2022,2691.0,2705.0,0.498702742772,Queens
43,350,2419.0,2392.0,0.502806069424,Manhattan
44,453,5301.0,5393.0,0.495698522536,Manhattan
45,303,3315.0,3383.0,0.494923857868,Manhattan
46,2003,3526.0,3543.0,0.498797566841,Manhattan
47,529,8159.0,5871.0,0.58153955809,Manhattan
48,410,4185.0,4282.0,0.49427187906,Manhattan
49,217,3114.0,3409.0,0.477387705044,Brooklyn
50,2008,4423.0,4392.0,0.501758366421,Manhattan
51,490,6614.0,6670.0,0.497892201144,Manhattan
52,116,6175.0,6202.0,0.498909267189,Manhattan
53,385,2270.0,2278.0,0.499120492524,Manhattan
54,532,3808.0,4179.0,0.476774758983,Brooklyn
55,499,9914.0,9824.0,0.502279866248,Manhattan
56,349,2447.0,2321.0,0.513213087248,Manhattan
57,527,5319.0,5171.0,0.507054337464,Manhattan
58,466,4843.0,4814.0,0.501501501502,Manhattan
59,300,3543.0,3553.0,0.499295377678,Manhattan
60,238,2998.0,3016.0,0.498503491852,Manhattan
61,236,5577.0,5780.0,0.491062780664,Manhattan
62,479,4866.0,4894.0,0.49856557377,Manhattan
63,345,4537.0,4549.0,0.499339643407,Manhattan
64,397,795.0,769.0,0.50831202046,Brooklyn
65,504,5690.0,5751.0,0.497334149113,Manhattan
66,361,4044.0,4080.0,0.497784342688,Manhattan
67,447,4034.0,3852.0,0.511539436977,Manhattan
68,128,6606.0,6946.0,0.487455726092,Manhattan
69,146,2838.0,2744.0,0.508419921175,Manhattan
70,431,544.0,629.0,0.463768115942,Brooklyn
71,250,7872.0,7768.0,0.503324808184,Manhattan
72,160,3051.0,3045.0,0.500492125984,Manhattan
73,225,4116.0,4446.0,0.480728801682,Manhattan
74,380,5999.0,6023.0,0.499001829978,Manhattan
75,493,3147.0,3210.0,0.495044832468,Manhattan
76,369,3138.0,3125.0,0.50103784129,Manhattan
77,311,2517.0,2563.0,0.495472440945,Manhattan
78,507,5021.0,5030.0,0.499552283355,Manhattan
79,537,6457.0,6459.0,0.499922576649,Manhattan
80,441,2359.0,2369.0,0.498942470389,Manhattan
81,461,4103.0,4120.0,0.498966313997,Manhattan
82,454,1818.0,1827.0,0.498765432099,Manhattan
83,357,3104.0,3102.0,0.500161134386,Manhattan
84,2009,1644.0,1675.0,0.49532991865,Manhattan
85,295,2648.0,2655.0,0.499339996229,Manhattan
86,2012,2698.0,2695.0,0.500278138327,Manhattan
87,482,5038.0,5047.0,0.499553792762,Manhattan
88,346,3701.0,3712.0,0.499258060165,Manhattan
89,496,5137.0,5238.0,0.49513253012,Manhattan
90,526,4276.0,4299.0,0.498658892128,Manhattan
91,455,3406.0,3552.0,0.489508479448,Manhattan
92,254,2595.0,2578.0,0.50164314711,Manhattan
93,486,4685.0,4684.0,0.500053367489,Manhattan
94,485,2850.0,2775.0,0.506666666667,Manhattan
95,334,5102.0,5103.0,0.49995100441,Manhattan
96,257,3223.0,3317.0,0.492813455657,Manhattan
97,358,7527.0,7641.0,0.496242088608,Manhattan
98,435,9839.0,9841.0,0.499949186992,Manhattan
99,494,5335.0,5346.0,0.499485066941,Manhattan
100,321,1713.0,1556.0,0.524013459774,Brooklyn
101,430,2310.0,2402.0,0.490237691002,Brooklyn
102,471,1418.0,1498.0,0.486282578875,Brooklyn
103,318,5890.0,5867.0,0.500978140682,Manhattan
104,503,4793.0,4785.0,0.500417623721,Manhattan
105,174,2861.0,2886.0,0.497824952149,Manhattan
106,153,4752.0,4680.0,0.503816793893,Manhattan
107,423,2089.0,2019.0,0.508519961052,Manhattan
108,449,2950.0,2400.0,0.551401869159,Manhattan
109,306,2829.0,2865.0,0.496838777661,Manhattan
110,389,1293.0,1330.0,0.492947007244,Brooklyn
111,383,4234.0,4256.0,0.498704358068,Manhattan
112,458,6202.0,6302.0,0.496001279591,Manhattan
113,528,4154.0,4173.0,0.498859132941,Manhattan
114,2021,3745.0,3750.0,0.499666444296,Manhattan
115,360,2213.0,2143.0,0.508034894399,Manhattan
116,501,4452.0,4003.0,0.526552335896,Manhattan
117,489,5045.0,5023.0,0.50109257052,Manhattan
118,531,4288.0,4306.0,0.498952757738,Manhattan
