,Borough,ID
0,Manhattan,168
1,Manhattan,450
2,Manhattan,312
3,Manhattan,382
4,Manhattan,352
5,Manhattan,212
6,Manhattan,388
7,Manhattan,492
8,Manhattan,387
9,Manhattan,285
10,Manhattan,476
11,Manhattan,263
12,Manhattan,79
13,Manhattan,379
14,Manhattan,368
15,Manhattan,336
16,Manhattan,426
17,Manhattan,281
18,Manhattan,229
19,Manhattan,439
20,Manhattan,347
21,Manhattan,293
22,Manhattan,329
23,Manhattan,3002
24,Manhattan,335
25,Manhattan,502
26,Brooklyn,261
27,Manhattan,497
28,Manhattan,491
29,Manhattan,251
30,Manhattan,445
31,Manhattan,444
32,Manhattan,161
33,Manhattan,252
34,Manhattan,428
35,Brooklyn,395
36,Manhattan,515
37,Manhattan,237
38,Manhattan,459
39,Manhattan,280
40,Manhattan,393
41,Manhattan,268
42,Queens,2022
43,Manhattan,350
44,Manhattan,453
45,Manhattan,303
46,Manhattan,2003
47,Manhattan,529
48,Manhattan,410
49,Brooklyn,217
50,Manhattan,2008
51,Manhattan,490
52,Manhattan,116
53,Manhattan,385
54,Brooklyn,532
55,Manhattan,499
56,Manhattan,349
57,Manhattan,527
58,Manhattan,466
59,Manhattan,300
60,Manhattan,238
61,Manhattan,236
62,Manhattan,479
63,Manhattan,345
64,Brooklyn,397
65,Manhattan,504
66,Manhattan,361
67,Manhattan,447
68,Manhattan,128
69,Manhattan,146
70,Brooklyn,431
71,Manhattan,250
72,Manhattan,160
73,Manhattan,225
74,Manhattan,380
75,Manhattan,493
76,Manhattan,369
77,Manhattan,311
78,Manhattan,507
79,Manhattan,537
80,Manhattan,441
81,Manhattan,461
82,Manhattan,454
83,Manhattan,357
84,Manhattan,2009
85,Manhattan,295
86,Manhattan,2012
87,Manhattan,482
88,Manhattan,346
89,Manhattan,496
90,Manhattan,526
91,Manhattan,455
92,Manhattan,254
93,Manhattan,486
94,Manhattan,485
95,Manhattan,334
96,Manhattan,257
97,Manhattan,358
98,Manhattan,435
99,Manhattan,494
100,Brooklyn,321
101,Brooklyn,430
102,Brooklyn,471
103,Manhattan,318
104,Manhattan,503
105,Manhattan,174
106,Manhattan,153
107,Manhattan,423
108,Manhattan,449
109,Manhattan,306
110,Brooklyn,389
111,Manhattan,383
112,Manhattan,458
113,Manhattan,528
114,Manhattan,2021
115,Manhattan,360
116,Manhattan,501
117,Manhattan,489
118,Manhattan,531
119,Manhattan,545
120,Manhattan,521
121,Brooklyn,83
122,Manhattan,147
123,Manhattan,224
124,Manhattan,470
125,Manhattan,433
126,Manhattan,342
127,Brooklyn,372
128,Brooklyn,274
129,Brooklyn,324
130,Manhattan,523
131,Manhattan,247
132,Brooklyn,232
133,Brooklyn,258
134,Brooklyn,157
135,Manhattan,463
136,Manhattan,195
137,Manhattan,223
138,Manhattan,442
139,Manhattan,510
140,Manhattan,446
141,Brooklyn,275
142,Manhattan,498
143,Manhattan,522
144,Manhattan,2010
145,Manhattan,151
146,Manhattan,401
147,Manhattan,265
148,Manhattan,294
149,Manhattan,465
150,Manhattan,519
151,Manhattan,376
152,Manhattan,536
153,Manhattan,279
154,Manhattan,315
155,Manhattan,457
156,Manhattan,290
157,Manhattan,478
158,Manhattan,448
159,Manhattan,404
160,Manhattan,402
161,Manhattan,127
162,Manhattan,434
163,Manhattan,432
164,Manhattan,308
165,Brooklyn,539
166,Manhattan,296
167,Manhattan,546
168,Manhattan,297
169,Manhattan,533
170,Manhattan,477
171,Manhattan,307
172,Manhattan,284
173,Manhattan,483
174,Manhattan,325
175,Manhattan,488
176,Manhattan,317
177,Manhattan,422
178,Brooklyn,443
179,Manhattan,173
180,Brooklyn,365
181,Manhattan,469
182,Manhattan,474
183,Manhattan,403
184,Manhattan,320
185,Manhattan,475
186,Manhattan,508
187,Manhattan,348
188,Manhattan,355
189,Manhattan,2004
190,Manhattan,511
191,Manhattan,480
192,Manhattan,520
193,Brooklyn,298
194,Brooklyn,244
195,Manhattan,375
196,Manhattan,412
197,Manhattan,377
198,Manhattan,302
199,Manhattan,359
200,Manhattan,367
201,Brooklyn,3180
202,Manhattan,326
203,Manhattan,438
204,Manhattan,327
205,Manhattan,500
206,Manhattan,417
207,Manhattan,259
208,Manhattan,468
209,Manhattan,405
210,Manhattan,253
211,Manhattan,514
212,Brooklyn,391
213,Manhattan,394
214,Brooklyn,418
215,Brooklyn,353
216,Manhattan,291
217,Brooklyn,270
218,Manhattan,505
219,Manhattan,330
220,Manhattan,331
221,Manhattan,328
222,Manhattan,525
223,Brooklyn,396
224,Brooklyn,120
225,Manhattan,495
226,Manhattan,72
227,Manhattan,472
228,Manhattan,512
229,Brooklyn,406
230,Manhattan,301
231,Brooklyn,460
232,Manhattan,516
233,Manhattan,341
234,Brooklyn,2000
235,Brooklyn,323
236,Manhattan,150
237,Manhattan,530
238,Manhattan,473
239,Manhattan,164
240,Brooklyn,467
241,Manhattan,400
242,Manhattan,305
243,Manhattan,509
244,Manhattan,351
245,Manhattan,462
246,Manhattan,264
247,Manhattan,2006
248,Manhattan,260
249,Manhattan,340
250,Brooklyn,243
251,Manhattan,249
252,Brooklyn,216
253,Manhattan,167
254,Brooklyn,2002
255,Manhattan,266
256,Manhattan,304
257,Brooklyn,416
258,Manhattan,415
259,Manhattan,82
260,Manhattan,411
261,Manhattan,427
262,Brooklyn,420
263,Brooklyn,310
264,Brooklyn,314
265,Brooklyn,354
266,Brooklyn,239
267,Manhattan,363
268,Brooklyn,143
269,Manhattan,2017
270,Manhattan,513
271,Manhattan,518
272,Brooklyn,233
273,Manhattan,137
274,Brooklyn,399
275,Brooklyn,289
276,Brooklyn,421
277,Manhattan,276
278,Brooklyn,245
279,Manhattan,316
280,Brooklyn,313
281,Brooklyn,390
282,Brooklyn,436
283,Brooklyn,241
284,Manhattan,408
285,Manhattan,356
286,Manhattan,440
287,Brooklyn,366
288,Manhattan,339
289,Brooklyn,262
290,Manhattan,487
291,Brooklyn,373
292,Manhattan,386
293,Manhattan,456
294,Manhattan,3016
295,Manhattan,332
296,Brooklyn,344
297,Brooklyn,414
298,Brooklyn,392
299,Manhattan,464
300,Brooklyn,343
301,Manhattan,228
302,Brooklyn,322
303,Manhattan,2023
304,Brooklyn,409
305,Manhattan,524
306,Brooklyn,398
307,Manhattan,248
308,Manhattan,517
309,Brooklyn,282
310,Manhattan,337
311,Brooklyn,2001
312,Manhattan,534
313,Manhattan,152
314,Brooklyn,364
315,Manhattan,309
316,Brooklyn,3014
317,Manhattan,362
318,Brooklyn,144
319,Manhattan,267
320,Brooklyn,242
321,Brooklyn,119
322,Manhattan,484
323,Brooklyn,419
324,Brooklyn,437
325,Brooklyn,218
326,Brooklyn,2005
327,Manhattan,3181
328,Queens,3120
329,Manhattan,3182
330,Manhattan,540
331,Brooklyn,481
332,Brooklyn,384
333,Queens,3125
334,Queens,3130
335,Queens,3126
336,Queens,3121
337,Queens,3124
338,Brooklyn,3117
339,Queens,3129
340,Brooklyn,3113
341,Brooklyn,3108
342,Queens,3119
343,Brooklyn,3112
344,Queens,3127
345,Brooklyn,3115
346,Brooklyn,3109
347,Brooklyn,3110
348,Brooklyn,3111
349,Brooklyn,3118
350,Brooklyn,3107
351,Brooklyn,3102
352,Brooklyn,3098
353,Brooklyn,3103
354,Brooklyn,3101
355,Queens,3123
356,Brooklyn,3092
357,Brooklyn,3087
358,Manhattan,319
359,Brooklyn,3104
360,Brooklyn,3095
361,Brooklyn,3090
362,Brooklyn,3088
363,Brooklyn,3094
364,Brooklyn,3084
365,Brooklyn,3106
366,Brooklyn,3097
367,Brooklyn,3081
368,Brooklyn,3091
369,Brooklyn,3083
370,Brooklyn,3073
371,Brooklyn,3075
372,Brooklyn,3079
373,Brooklyn,3077
374,Brooklyn,3069
375,Brooklyn,3071
376,Brooklyn,3074
377,Brooklyn,3076
378,Brooklyn,3070
379,Brooklyn,3065
380,Brooklyn,3072
381,Brooklyn,3067
382,Brooklyn,3060
383,Brooklyn,3068
384,Brooklyn,3066
385,Brooklyn,3062
386,Brooklyn,3063
387,Brooklyn,3064
388,Brooklyn,3061
389,Brooklyn,3179
390,Brooklyn,3086
391,Brooklyn,3093
392,Brooklyn,3114
393,Brooklyn,3105
394,Brooklyn,3059
395,Brooklyn,3055
396,Brooklyn,3053
397,Brooklyn,3057
398,Brooklyn,3056
399,Brooklyn,3054
400,Brooklyn,3050
401,Brooklyn,3048
402,Brooklyn,3052
403,Brooklyn,278
404,Brooklyn,271
405,Brooklyn,3222
406,Manhattan,3223
407,Brooklyn,3058
408,Queens,3128
409,Brooklyn,3046
410,Brooklyn,3047
411,Brooklyn,3041
412,Brooklyn,3044
413,Brooklyn,3043
414,Brooklyn,3042
415,Brooklyn,3049
416,Manhattan,3133
417,Manhattan,3158
418,Manhattan,3224
419,Manhattan,3165
420,Manhattan,3164
